Player,Pos,Tm,G,GS,Holding,False Start,Pen,Decl/Offs
Jonotthan Harrison,C,IND,13,4,2,1,3,0
Tony Hills,T,NOR,11,0,0,2,3,0
Mike Iupati,LG,ARI,15,15,2,1,3,3
Luke Joeckel,LG,JAX,4,4,2,1,3,1
Ben Jones,C,TEN,16,16,1,0,3,0
Ryan Kalil,C,CAR,8,8,1,1,3,1
Ryan Kelly,C,IND,16,16,1,2,3,0
Daniel Kilgore,C,SFO,13,13,2,1,3,0
Josh Kline,RG,TEN,14,14,1,2,3,0
Kory Lichtensteiger,C,WAS,3,3,0,3,3,0
Shaq Mason,RG,NWE,16,15,3,0,3,1
Bobby Massie,RT,CHI,15,15,1,2,3,0
Jack Mewhort,LG,IND,10,10,1,1,3,0
Ty Nsekhe,T,WAS,16,4,1,1,3,1
Kevin Pamphile,LG,TAM,14,14,1,1,3,0
Matt Paradis,C,DEN,16,16,3,0,3,0
Brent Qvale,RT,NYJ,12,5,0,3,3,0
Riley Reiff,RT,DET,14,14,2,1,3,2
Rodger Saffold,LG,LAR,15,15,0,3,3,1
Ty Sambrailo,RT,DEN,10,4,3,0,3,0
Jason Spriggs,T,GNB,16,2,1,2,3,1
Joe Staley,LT,SFO,13,13,1,2,3,0
Zach Strief,RT,NOR,16,16,1,2,3,2
Travis Swanson,C,DET,12,12,3,0,3,0
Andrew Tiller,G,SFO,15,7,1,2,3,1
Carson Tinker,LS,JAX,16,0,2,1,3,0
Laken Tomlinson,LG,DET,16,10,2,1,3,0
Jared Veldheer,LT,ARI,8,8,1,1,3,2
Ricky Wagner,RT,BAL,15,14,1,1,3,1
Larry Warford,RG,DET,15,15,0,3,3,0
Trent Williams,LT,WAS,12,12,2,1,3,0
Eric Wood,C,BUF,9,9,3,0,3,1
Marshal Yanda,LG,BAL,13,13,2,1,3,0
Alvin Bailey,LG,CLE,14,5,0,2,2,0
Tim Barnes,C,LAR,16,16,0,2,2,0
Russell Bodine,C,CIN,16,16,2,0,2,0
Evan Boehm,C,ARI,16,1,1,1,2,0
Clint Boling,LG,CIN,14,14,1,1,2,0
Brandon Brooks,RG,PHI,14,14,1,1,2,0
Jamon Brown,G,LAR,11,5,2,0,2,0
La'el Collins,LG,DAL,3,3,2,0,2,0
B.J. Finney,C,PIT,13,3,1,1,2,0
Jake Fisher,T,CIN,15,3,0,2,2,2
Ramon Foster,LG,PIT,14,14,1,1,2,0
Brandon Fusco,RG,MIN,14,14,0,2,2,0
Gino Gradkowski,G,CAR,10,3,0,0,2,0
Chaz Green,LT,DAL,4,2,1,0,2,1
Chris Hairston,G,SDG,15,5,0,1,2,0
Austin Howard,RT,OAK,11,10,0,1,2,1
Chris Hubbard,C,PIT,15,4,1,1,2,1
James Hurst,T,BAL,16,3,2,0,2,1
Ryan Jensen,C,BAL,7,3,1,1,2,0
Lane Johnson,RT,PHI,6,6,1,0,2,0
Dennis Kelly,G,TEN,16,6,1,0,2,0
Tim Lelito,G,NOR,16,7,1,1,2,0
Brandon Linder,C,JAX,14,14,1,1,2,0
Kyle Long,RG,CHI,8,8,1,1,2,0
Zack Martin,RG,DAL,16,16,1,1,2,0
Cedric Ogbuehi,RT,CIN,14,12,1,1,2,1
Patrick Omameh,LG,JAX,10,7,2,0,2,1
Maurkice Pouncey,C,PIT,15,15,1,0,2,0
Justin Pugh,LG,NYG,11,11,2,0,2,1
Spencer Pulley,C,SDG,16,0,0,2,2,0
Weston Richburg,C,NYG,16,16,0,0,2,1
Isaac Seumalo,G,PHI,9,4,0,2,2,0
Andre Smith,RT,MIN,4,4,1,1,2,1
Anthony Steen,C,MIA,15,7,1,1,2,0
Xavier Su'a-Filo,LG,HOU,16,15,1,0,2,0
John Theus,LT,SFO,4,1,0,1,2,0
Joe Thomas,LT,CLE,16,16,1,1,2,2
J.C. Tretter,C,GNB,7,7,1,0,2,0
John Wetzel,T,ARI,16,8,0,2,2,0
Cody Wichmann,RG,LAR,12,11,0,1,2,0
